patientid	celltype	predicted_proportion	class	true_proportion	sample_size
GSM5022599	Endothelial cells	0.140199216767883	s1 10000	0.140780413159908	10000
GSM5022599	Epithelial cells	0.631628961328114	s1 10000	0.449885233358837	10000
GSM5022599	Mesenchymal cells	0.0705725037855711	s1 10000	0.121270084162204	10000
GSM5022599	Myeloid cells	0.00090015918614346	s1 10000	0.0351951032899771	10000
GSM5022599	Myoepithelial cells	0.0253759049271293	s1 10000	0.0428462127008416	10000
GSM5022599	T cells	0.0360336666610166	s1 10000	0.119739862280031	10000
GSM5022600	B cells	0	s1 10000	0.00273224043715847	10000
GSM5022600	Cycling cells	0.0099265451669467	s1 10000	0.046448087431694	10000
GSM5022600	Endothelial cells	0.0325915669786301	s1 10000	0.0478142076502732	10000
GSM5022600	Epithelial cells	0.758637399258298	s1 10000	0.453551912568306	10000
GSM5022600	Mesenchymal cells	0.0693356536030315	s1 10000	0.0792349726775956	10000
GSM5022600	Myeloid cells	0.0113279784353028	s1 10000	0.0382513661202186	10000
GSM5022600	Myoepithelial cells	0.0207161660690474	s1 10000	0.0245901639344262	10000
GSM5022600	T cells	0.0974646904887438	s1 10000	0.307377049180328	10000
GSM5022601	B cells	0.0128323085726119	s1 10000	0.00510404397330192	10000
GSM5022601	Cycling cells	0.00256308634105142	s1 10000	0.055359246171967	10000
GSM5022601	Endothelial cells	0.338076203007778	s1 10000	0.189242245779348	10000
GSM5022601	Epithelial cells	0.447001859577164	s1 10000	0.316058107577542	10000
GSM5022601	Mesenchymal cells	0.131610858219951	s1 10000	0.224185316058108	10000
GSM5022601	Myeloid cells	0	s1 10000	0.0400471142520613	10000
GSM5022601	Myoepithelial cells	0.00526505092619869	s1 10000	0.0569297212406753	10000
GSM5022601	T cells	0.0626506333552447	s1 10000	0.113074204946996	10000
GSM5022602	B cells	0.0135299817051203	s1 10000	0.00438321853475266	10000
GSM5022602	Cycling cells	0.0265038962586061	s1 10000	0.0814026299311209	10000
GSM5022602	Endothelial cells	0.156831302514655	s1 10000	0.102066374452098	10000
GSM5022602	Epithelial cells	0.688368222712149	s1 10000	0.471509079524108	10000
GSM5022602	Mesenchymal cells	0.100993366721664	s1 10000	0.159674389480276	10000
GSM5022602	Myeloid cells	0	s1 10000	0.0438321853475266	10000
GSM5022602	Myoepithelial cells	0	s1 10000	0.0507201001878522	10000
GSM5022602	T cells	0.013773230087805	s1 10000	0.0864120225422668	10000
GSM5022603	B cells	0.0113367953081014	s1 10000	0.00646725949878739	10000
GSM5022603	Cycling cells	0.134110053635168	s1 10000	0.0670978172999192	10000
GSM5022603	Endothelial cells	0.23630208946563	s1 10000	0.140662894098626	10000
GSM5022603	Epithelial cells	0.426435498865404	s1 10000	0.373484236054972	10000
GSM5022603	Mesenchymal cells	0.177322294058415	s1 10000	0.255456750202102	10000
GSM5022603	Myeloid cells	0.00884421293092213	s1 10000	0.0699272433306386	10000
GSM5022603	Myoepithelial cells	0	s1 10000	0.0432497978981407	10000
GSM5022603	T cells	0.00564905573636069	s1 10000	0.0436540016168149	10000
TSMammary	B cells	0.0642874024027991	s1 10000	0.0132695236023494	10000
TSMammary	Cycling cells	0	s1 10000	0.0278442462475528	10000
TSMammary	Endothelial cells	0	s1 10000	0.0454644333260822	10000
TSMammary	Epithelial cells	0.351064732744724	s1 10000	0.202523384816184	10000
TSMammary	Mesenchymal cells	0.0519834273876837	s1 10000	0.243202088318469	10000
TSMammary	Myeloid cells	0.00145279444158917	s1 10000	0.0217533173809006	10000
TSMammary	Myoepithelial cells	0.438160269781512	s1 10000	0.0920165325212095	10000
TSMammary	T cells	0.0930513732416923	s1 10000	0.353926473787253	10000
sc5rJUQ026	B cells	0.0544598153893043	s1 10000	0.07003367003367	10000
sc5rJUQ026	Cycling cells	0.0369925389555803	s1 10000	0.0262626262626263	10000
sc5rJUQ026	Endothelial cells	0.00842961591253633	s1 10000	0.00942760942760943	10000
sc5rJUQ026	Epithelial cells	0.00791876062956299	s1 10000	0.0558922558922559	10000
sc5rJUQ026	Mesenchymal cells	0.178241640620272	s1 10000	0.0902356902356902	10000
sc5rJUQ026	Myeloid cells	0.0404234739905176	s1 10000	0.0269360269360269	10000
sc5rJUQ026	Myoepithelial cells	0	s1 10000	0.0228956228956229	10000
sc5rJUQ026	T cells	0.673534154502227	s1 10000	0.698316498316498	10000
sc5rJUQ033	B cells	0.143113730524357	s1 10000	0.115754437869823	10000
sc5rJUQ033	Cycling cells	0.061616250600072	s1 10000	0.0406804733727811	10000
sc5rJUQ033	Endothelial cells	0	s1 10000	0.00665680473372781	10000
sc5rJUQ033	Epithelial cells	0	s1 10000	0.0332840236686391	10000
sc5rJUQ033	Mesenchymal cells	0.0271434277769468	s1 10000	0.00813609467455621	10000
sc5rJUQ033	Myeloid cells	0.176775636999895	s1 10000	0.149778106508876	10000
sc5rJUQ033	Myoepithelial cells	0.0201238363061275	s1 10000	0.0018491124260355	10000
sc5rJUQ033	T cells	0.571227117792602	s1 10000	0.643860946745562	10000
sc5rJUQ039	B cells	0.0406088791072789	s1 10000	0.246103896103896	10000
sc5rJUQ039	Cycling cells	0	s1 10000	0.00324675324675325	10000
sc5rJUQ039	Endothelial cells	0.0828719744773402	s1 10000	0.0474025974025974	10000
sc5rJUQ039	Epithelial cells	0.0213274172663049	s1 10000	0.0467532467532468	10000
sc5rJUQ039	Mesenchymal cells	0.0434920815006404	s1 10000	0.0337662337662338	10000
sc5rJUQ039	Myeloid cells	0.0437003878353629	s1 10000	0.0279220779220779	10000
sc5rJUQ039	Myoepithelial cells	0.0291238753769755	s1 10000	0.0525974025974026	10000
sc5rJUQ039	T cells	0.738875384436097	s1 10000	0.542207792207792	10000
